date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,day_of_week,month,season,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_7,aqi_3day_avg,aqi_7day_avg,aqi_30day_avg,temp_humidity_interaction,pressure_wind_interaction,pm25_pm10_ratio,co_no2_ratio
2025-03-01,3.0,455.47791666666666,0.61375,11.333333333333334,108.36208333333332,4.385416666666667,25.075,64.87083333333334,3.297916666666667,23.5,72.0,1012.8,9.3,5,3,2,1,2.708333333333333,2.458333333333333,5.0,2.7222222222222214,3.529761904761905,3.9847222222222225,1692.0,9419.04,0.38653734390333594,40.189224395068436
2025-03-02,3.625,1139.3220833333332,4.953333333333333,33.52333333333333,100.53833333333334,14.4,59.490833333333335,102.54208333333334,8.935,23.0,70.0,1012.7,9.2,6,3,2,1,3.0,2.708333333333333,3.875,3.1111111111111107,3.4940476190476195,3.998611111111111,1610.0,9316.84,0.5801601724804677,33.98594161322636
2025-03-03,3.9583333333333335,509.0233333333333,0.5370833333333334,13.5925,97.45416666666668,6.528333333333333,42.59875,134.26916666666668,4.660416666666666,24.1,68.0,1013.5,12.2,0,3,2,0,3.625,3.0,4.416666666666667,3.5277777777777772,3.4285714285714284,3.975,1638.8000000000002,12364.699999999999,0.3172638271338258,37.44883545223453
2025-03-04,4.333333333333333,2430.795833333333,9.81875,84.33083333333333,81.46541666666667,33.71666666666667,93.7275,140.31375,34.28333333333333,24.0,20.0,1017.6,7.6,1,3,2,0,3.9583333333333335,3.625,4.416666666666667,3.9722222222222214,3.4166666666666665,3.9722222222222223,480.0,7733.76,0.6679851356835298,28.824520147934976
2025-03-05,3.0,694.27,0.0,16.11,94.41,17.64,29.27,54.33,17.99,23.1,35.0,1017.7,8.2,2,3,2,0,4.333333333333333,3.9583333333333335,3.8333333333333335,3.763888888888888,3.2976190476190474,3.9444444444444446,808.5,8345.14,0.5387446983481557,43.09559012442023
2025-03-06,3.0,694.27,0.0,16.11,94.41,17.64,29.27,54.33,17.99,25.1,58.0,1014.1,8.8,3,3,2,0,3.0,4.333333333333333,2.458333333333333,3.6666666666666656,3.4375,3.9640804597701154,1455.8000000000002,8924.080000000002,0.5387446983481557,43.09559012442023
2025-03-07,3.9130434782608696,3651.619130434783,32.34217391304348,104.07217391304349,80.06217391304348,22.855217391304347,189.03521739130431,246.8778260869565,34.479565217391304,26.3,53.0,1011.1,7.7,4,3,2,0,3.0,3.0,2.708333333333333,3.4565217391304346,3.638285024154589,3.933783108445777,1393.9,7785.47,0.765703504530285,35.0873721384785
2025-03-08,3.333333333333333,990.7879166666668,4.4383333333333335,29.94458333333333,72.0175,12.0575,44.77125,84.25583333333333,13.4075,28.4,39.0,1008.5,9.8,5,3,2,1,3.9130434782608696,3.0,3.0,3.6231884057971007,3.6938405797101446,3.8921164417791103,1107.6,9883.300000000001,0.531372697858237,33.08738253426861
2025-03-09,4.208333333333333,2562.9204166666664,9.553333333333333,74.12833333333333,126.32875,20.16375,169.79208333333335,218.00083333333336,29.49,28.6,43.0,1010.4,8.0,6,3,2,1,3.333333333333333,3.9130434782608696,3.625,3.818236714975845,3.7910628019323673,3.8777486256871563,1229.8,8083.2,0.7788597867185838,34.57409963027048
2025-03-10,3.7083333333333335,1647.5120833333333,13.460416666666667,48.64625,37.60208333333333,12.4875,61.77375,95.57791666666668,20.377916666666668,28.3,43.0,1012.4,8.2,0,3,2,0,4.208333333333333,3.333333333333333,3.9583333333333335,3.75,3.7493961352657004,3.8332083958020986,1216.9,8301.679999999998,0.6463182240006463,33.867195302127875
